iface,filename,bytes,mtime_utc,first_pkt_epoch,first_pkt_utc,last_pkt_epoch,last_pkt_utc,pkts_estimate
tap64df3304-c2,tap64df3304-c2_20260313_091357Z_120s.pcap,14055,2026-03-13T09:15:56Z,1773393245.054776,2026-03-13T09:14:05Z,1773393356.181121,2026-03-13T09:15:56Z,117
tap64df3304-c2,tap64df3304-c2_20260313_091557Z_120s.pcap,16510,2026-03-13T09:17:56Z,1773393367.189295,2026-03-13T09:16:07Z,1773393476.492779,2026-03-13T09:17:56Z,137
tap64df3304-c2,tap64df3304-c2_20260313_091758Z_120s.pcap,14156,2026-03-13T09:19:55Z,1773393480.685174,2026-03-13T09:18:00Z,1773393595.885042,2026-03-13T09:19:55Z,117
tap64df3304-c2,tap64df3304-c2_20260313_091958Z_120s.pcap,14453,2026-03-13T09:21:53Z,1773393599.330401,2026-03-13T09:19:59Z,1773393712.287577,2026-03-13T09:21:52Z,120
tap64df3304-c2,tap64df3304-c2_20260313_092158Z_120s.pcap,13429,2026-03-13T09:23:52Z,1773393728.178922,2026-03-13T09:22:08Z,1773393831.406154,2026-03-13T09:23:51Z,111
tap64df3304-c2,tap64df3304-c2_20260313_092358Z_120s.pcap,15877,2026-03-13T09:25:53Z,1773393839.183290,2026-03-13T09:23:59Z,1773393952.989081,2026-03-13T09:25:52Z,132
tap64df3304-c2,tap64df3304-c2_20260313_092558Z_120s.pcap,12836,2026-03-13T09:27:50Z,1773393963.951898,2026-03-13T09:26:03Z,1773394069.704188,2026-03-13T09:27:49Z,106
tap64df3304-c2,tap64df3304-c2_20260313_092758Z_120s.pcap,13481,2026-03-13T09:29:58Z,1773394080.669410,2026-03-13T09:28:00Z,1773394198.245576,2026-03-13T09:29:58Z,112
tap64df3304-c2,tap64df3304-c2_20260313_092959Z_120s.pcap,17945,2026-03-13T09:31:55Z,1773394199.551837,2026-03-13T09:29:59Z,1773394315.074312,2026-03-13T09:31:55Z,149
tap64df3304-c2,tap64df3304-c2_20260313_093159Z_120s.pcap,12779,2026-03-13T09:33:53Z,1773394324.088270,2026-03-13T09:32:04Z,1773394433.748756,2026-03-13T09:33:53Z,106
tap64df3304-c2,tap64df3304-c2_20260313_093359Z_120s.pcap,17311,2026-03-13T09:35:54Z,1773394443.043892,2026-03-13T09:34:03Z,1773394553.324910,2026-03-13T09:35:53Z,144
tap64df3304-c2,tap64df3304-c2_20260313_093559Z_120s.pcap,42616,2026-03-13T09:37:58Z,1773394559.837343,2026-03-13T09:35:59Z,1773394678.134064,2026-03-13T09:37:58Z,355
tap64df3304-c2,tap64df3304-c2_20260313_093759Z_120s.pcap,12019,2026-03-13T09:39:53Z,1773394680.300785,2026-03-13T09:38:00Z,1773394793.134742,2026-03-13T09:39:53Z,100
tap64df3304-c2,tap64df3304-c2_20260313_093959Z_120s.pcap,15725,2026-03-13T09:41:54Z,1773394801.893139,2026-03-13T09:40:01Z,1773394913.737323,2026-03-13T09:41:53Z,131
tap64df3304-c2,tap64df3304-c2_20260313_094159Z_120s.pcap,12224,2026-03-13T09:43:56Z,1773394921.395180,2026-03-13T09:42:01Z,1773395036.533249,2026-03-13T09:43:56Z,101
tap64df3304-c2,tap64df3304-c2_20260313_094400Z_120s.pcap,15196,2026-03-13T09:45:51Z,1773395045.543606,2026-03-13T09:44:05Z,1773395151.777578,2026-03-13T09:45:51Z,126
tap64df3304-c2,tap64df3304-c2_20260313_094600Z_120s.pcap,12190,2026-03-13T09:48:00Z,1773395162.786122,2026-03-13T09:46:02Z,1773395279.358069,2026-03-13T09:47:59Z,101
tap64df3304-c2,tap64df3304-c2_20260313_094800Z_120s.pcap,16187,2026-03-13T09:49:57Z,1773395284.461183,2026-03-13T09:48:04Z,1773395397.195711,2026-03-13T09:49:57Z,134
tap64df3304-c2,tap64df3304-c2_20260313_095000Z_120s.pcap,14839,2026-03-13T09:51:59Z,1773395408.205345,2026-03-13T09:50:08Z,1773395518.868323,2026-03-13T09:51:58Z,123
tap64df3304-c2,tap64df3304-c2_20260313_095200Z_120s.pcap,16216,2026-03-13T09:54:00Z,1773395521.517756,2026-03-13T09:52:01Z,1773395639.614052,2026-03-13T09:53:59Z,135
tap64df3304-c2,tap64df3304-c2_20260313_095400Z_120s.pcap,13534,2026-03-13T09:55:58Z,1773395642.336212,2026-03-13T09:54:02Z,1773395758.390216,2026-03-13T09:55:58Z,112
